Date,Shift,Analyst,Violations,Total_Violations
2025-01-01,Night,AN-03,Boiler pH (8.35 is outside 8.5-9.5),1
2025-01-07,Evening,AN-03,Ammonia Purity (99.45% < 99.5%),1
2025-01-08,Night,AN-02,Prill Size (88.31% < 90.0%),1
2025-01-13,Evening,AN-02,Boiler pH (7.69 is outside 8.5-9.5),1
2025-01-15,Night,AN-02,Boiler pH (8.19 is outside 8.5-9.5),1
2025-01-17,Night,AN-01,Prill Size (89.75% < 90.0%),1
2025-01-19,Morning,AN-03,Boiler pH (8.48 is outside 8.5-9.5),1
2025-01-27,Night,AN-02,Boiler pH (9.77 is outside 8.5-9.5),1
2025-01-29,Evening,AN-02,Boiler pH (8.43 is outside 8.5-9.5),1
2025-01-29,Night,AN-02,Prill Size (88.24% < 90.0%),1
2025-02-02,Evening,AN-01,Boiler pH (8.2 is outside 8.5-9.5),1
2025-02-03,Morning,AN-01,"Prill Size (88.89% < 90.0%), Boiler pH (9.63 is outside 8.5-9.5)",2
2025-02-06,Evening,AN-03,Prill Size (89.04% < 90.0%),1
2025-02-06,Night,AN-01,Prill Size (89.14% < 90.0%),1
2025-02-08,Night,AN-04,Prill Size (89.13% < 90.0%),1
2025-02-11,Evening,AN-02,Boiler pH (9.64 is outside 8.5-9.5),1
2025-02-14,Evening,AN-02,Ammonia Purity (99.435% < 99.5%),1
2025-02-19,Morning,AN-01,Prill Size (89.53% < 90.0%),1
2025-02-20,Morning,AN-04,Prill Size (89.7% < 90.0%),1
2025-02-23,Evening,AN-01,Ammonia Purity (99.458% < 99.5%),1
2025-02-25,Night,AN-01,Prill Size (89.31% < 90.0%),1
2025-02-26,Evening,AN-02,Boiler pH (9.74 is outside 8.5-9.5),1
2025-02-28,Evening,AN-04,Prill Size (89.4% < 90.0%),1
2025-03-01,Morning,AN-02,Boiler pH (9.58 is outside 8.5-9.5),1
2025-03-02,Morning,AN-04,"Ammonia Purity (99.41% < 99.5%), Boiler pH (9.52 is outside 8.5-9.5)",2
2025-03-03,Evening,AN-02,Boiler pH (7.88 is outside 8.5-9.5),1
2025-03-04,Night,AN-02,Ammonia Purity (99.485% < 99.5%),1
2025-03-05,Night,AN-04,Boiler pH (8.45 is outside 8.5-9.5),1
