Timestamp,Shift,Analyst_ID,Urea_Biuret_Pct,Urea_Moisture_Pct,Urea_Prill_Size_Pct,Ammonia_Purity_Pct,Boiler_Water_pH
2025-01-01,Morning,AN-04,0.79,0.216,94.86,99.852,8.94
2025-01-01,Evening,AN-02,0.731,0.193,92.63,99.652,9.04
2025-01-01,Night,AN-03,0.704,0.204,92.3,99.608,8.35
2025-01-02,Morning,AN-04,0.826,0.204,93.25,99.722,8.81
2025-01-02,Evening,AN-03,0.706,0.223,91.08,99.738,8.85
2025-01-02,Night,AN-02,0.727,0.248,96.82,99.663,9.09
2025-01-03,Morning,AN-04,0.649,0.253,99.33,99.819,9.05
2025-01-03,Evening,AN-01,0.821,0.244,99.08,99.726,9.41
2025-01-03,Night,AN-03,0.777,0.167,94.18,99.661,8.83
2025-01-04,Morning,AN-02,0.799,0.239,91.6,99.748,9.33
2025-01-04,Evening,AN-03,0.629,0.253,93.13,99.659,9.29
2025-01-04,Night,AN-03,0.678,0.159,95.75,99.607,9.2
2025-01-05,Morning,AN-03,0.54,0.245,93.68,99.67,9.02
2025-01-05,Evening,AN-02,0.591,0.246,98.3,99.862,9.21
2025-01-05,Night,AN-03,0.79,0.255,94.04,99.731,9.34
2025-01-06,Morning,AN-03,0.764,0.212,94.47,99.565,8.75
2025-01-06,Evening,AN-01,0.637,0.207,92.78,99.62,8.96
2025-01-06,Night,AN-03,0.782,0.2,93.19,99.615,8.79
2025-01-07,Morning,AN-01,0.664,0.19,93.71,99.657,8.84
2025-01-07,Evening,AN-03,0.75,0.263,95.74,99.45,9.37
2025-01-07,Night,AN-03,0.841,0.243,95.16,99.609,9.35
2025-01-08,Morning,AN-03,0.638,0.235,94.64,99.703,8.7
2025-01-08,Evening,AN-01,0.887,0.246,93.52,99.663,9.16
2025-01-08,Night,AN-02,0.652,0.233,88.31,99.748,9.23
2025-01-09,Morning,AN-04,0.815,0.183,93.98,99.831,8.6
2025-01-09,Evening,AN-04,0.765,0.25,93.82,99.64,8.79
